"permissionId", "declaringType","returnType","name","argTypes"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","enableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","enableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","enableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","enableCellBroadcastRangeForSubscriber","IIII"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","enableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","enableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","enableCellBroadcastForSubscriber","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub$Proxy;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms$Stub;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","enableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Landroid/telephony/SmsManager;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/ISms;","Z","enableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","disableGsmBroadcastRange","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","disableCellBroadcastRange","III"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/IccSmsInterfaceManager;","Z","disableCellBroadcast","II"
"android.permission.RECEIVE_SMS", "Lcom/android/internal/telephony/UiccSmsController;","Z","disableCellBroadcastRangeForSubscriber","IIII"
